ItemID,LocationID,TransactionDate,TransferQuantity
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-18,-5.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-03,-14.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-04,-43.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-06-18,-3.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-24,-3.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-18,-14.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-13,-7.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-11,-6.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2020-01-15,0.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-01-22,-5.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2020-01-30,-10.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-01-10,-5.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-02-04,7.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-04,-21.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-02-27,-10.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-04-22,-5.0
a0W5700000MYVQOEA5,a0X57000011fDIhEAM,2019-04-01,-2.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-04-01,0.0
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-04-01,-26.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-04-25,-4.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-04-23,-8.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-18,-8.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-16,-11.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-09-02,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-03,-7.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-28,433.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-23,-42.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-27,-3.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-11-06,-7.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-10-15,-19.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-10-09,-13.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-10-18,-2.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-10-23,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-19,-7.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-12,-15.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-08-16,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-26,-8.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-08-13,-6.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-11-21,-48.0
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2019-11-11,-6.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-11-25,-10.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-26,-21.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-11-04,-9.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-11-13,-1.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-19,-4.0
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2019-11-14,-14.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-12-05,-5.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-12-19,-5.0
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-27,-31.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-12-20,-7.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-01-04,-10.0
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-10-03,-14.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-08,-10.0
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-10-30,-1.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-22,47.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-10-23,-11.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-10-08,-2.0
a0W5700000MYVQOEA5,a0X57000019oxgdEAA,2020-05-04,-1.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-25,-11.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-11,-19.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-26,-38.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-29,-57.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-11,-9.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-06-11,0.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-01,-34.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-04,-18.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-27,-14.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-05,-55.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-20,-26.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-06,-38.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-08-17,-2.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-28,-19.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-09-11,-10.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-09-18,0.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-03,-23.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-13,-6.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-09-03,1.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-08-22,-1.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-24,-5.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-10-01,-9.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-08-21,-8.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-17,-16.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-09-04,-3.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-05,-2.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-25,-11.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-08,-11.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-29,-4.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-07-22,-5.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-31,-146.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-07-02,-3.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-25,4.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-07-15,-2.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-22,-2.0
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-03,1.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-23,-4.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-07-18,-3.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-09,-7.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-07-09,-26.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-07-17,-6.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-02,-11.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-07-20,1.0
